,제목,Aired Date,Year of release,Original Network,Aired On,Number of Episodes,Duration,Content Rating,Rating,Genre,Tags,Director,Screenwriter,Cast,Production companies,Rank,시청률,click,장르
10,철인왕후,"Dec 12, 2020 - Feb 14, 2021",2020,tvN," Saturday, Sunday",20,1 hr. 20 min.,15+ - Teens 15 or older,9.0,"Historical,  Mystery,  Comedy,  Romance ","Smart Male Lead, Transmigration, Calm Male Lead, Joseon Dynasty, Time Travel, Sassy Female Lead, Body Swap, Gender Swap, Eccentric Female Lead, Power Struggle",Yoon Sung Shik,"Park Kye Ok, Choi Ah Il","Shin Hye Sun, Kim Jung Hyun, Bae Jong Ok, Kim Tae Woo, Jo Yun Hee, Seol In Ah","Crave Works, YG Entertainment",#11,17.40%,860000,Comedy
11,마더,"Jan 24, 2018 - Mar 15, 2018",2018,tvN," Wednesday, Thursday",16,1 hr. 3 min.,15+ - Teens 15 or older,9.0,"Thriller,  Mystery,  Psychological,  Melodrama ","Mother-Daughter Relationship, Independent Female Lead, Orphan Female Lead, Smart Female Lead, Child Abuse, Adoption, Strong Female Lead, Motherhood, Psychopath, Cohabitation","Kim Chul Gyu, Yoon Hyun Gi",Jung Seo Kyung,"Lee Bo Young, Heo Yool, Lee Hye Young, Go Sung Hee, Lee Jae Yoon, Go Bo Gyeol",The Unicorn,#12,5.00%,130000,Mystery
12,싸이코지만 괜찮아,"Jun 20, 2020 - Aug  9, 2020",2020,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,9.0,"Psychological,  Comedy,  Romance,  Drama ","Sibling Relationship, Melodrama, Mental Health, Independent Female Lead, Emotionally Wounded, Successful Female Lead, Healing, Caregiver, Childhood Connection, Psychiatry","Park Shin Woo, Jung Dong Yoon",Jo Yong,"Kim Soo Hyun, Seo Yea Ji, Oh Jung Se, Park Gyu Young, Jang Young Nam, Kim Chang Wan","Story TV, Gold Medalist",#13,7.30%,330000,Romance
13,사랑의 불시착,"Dec 14, 2019 - Feb 16, 2020",2019,"Netflix,  tvN "," Sunday, Saturday",16,1 hr. 25 min.,15+ - Teens 15 or older,9.0,"Military,  Comedy,  Romance,  Political ","North And South Korea, Star Crossed Lovers, Lovers From Different Countries, Strong Male Lead, Army Officer, Rich Female Lead, North Korean, Soldier, Fate, Nice Male Lead",Lee Jeong Hyo,Park Ji Eun,"Hyun Bin, Son Ye Jin, Seo Ji Hye, Kim Jung Hyun, Yang Kyung Won, Lee Shin Young","Studio Dragon, Culture Depot",#14,21.70%,230000,Thriller
14,빈센조,"Feb 20, 2021 - May  2, 2021",2021,"Netflix,  tvN "," Saturday, Sunday",20,1 hr. 25 min.,15+ - Teens 15 or older,9.0,"Comedy,  Law,  Crime,  Drama ","Mafia, Revenge, Smart Male Lead, Eccentric Female Lead, Injustice, Charming Male Lead, Bromance, Father-Daughter Relationship, Badass Male Lead, Smart Female Lead",Kim Hee Won,Park Jae Bum,"Song Joong Ki, Jeon Yeo Been, Ok Taec Yeon, Kim Yeo Jin, Jo Han Chul, Kwak Dong Yeon",Logos Film,#15,14.60%,220000,Thriller
15,나빌레라,"Mar 22, 2021 - Apr 27, 2021",2021,"Netflix,  tvN "," Monday, Tuesday",12,1 hr. 5 min.,15+ - Teens 15 or older,9.0,"Friendship,  Life,  Drama,  Family ","Ballet, Dream, Life Lesson, Old-Young Generation, Unusual Friendship, Ballet Dancer, Personal Growth, Adapted From A Webtoon, Father-Son Relationship, Second Chance",Han Dong Hwa,Lee Eun Mi,"Park In Hwan, Song Kang, Na Moon Hee, Hong Seung Hee, Kim Tae Hoon, Yoon  Ji Hye","Studio Dragon, The Great Show",#16,3.70%,24000,Thriller
16,시그널,"Jan 22, 2016 - Mar 12, 2016",2016,tvN," Friday, Saturday",16,1 hr. 15 min.,15+ - Teens 15 or older,9.0,"Thriller,  Mystery,  Sci-Fi ","Different Timelines, Hwaseong Serial Murders, Murder, Criminal Profiler, Serial Killer, Tragic Past, Smart Female Lead, Corruption, Time Altering, Kidnapping",Kim Won Suk,Kim Eun Hee,"Lee Je Hoon, Kim Hye Soo, Jo Jin Woong, Kim Won Hae, Lee Yoo Joon, Jang Hyun Sung",AStory,#17,12.50%,300000,Action
17,미스터 선샤인,"Jul  7, 2018 - Sep 30, 2018",2018,"Netflix,  tvN "," Saturday, Sunday",24,1 hr. 20 min.,15+ - Teens 15 or older,8.9,"Military,  Historical,  Romance,  Melodrama ","Independent Female Lead, Strong Male Lead, Strong Female Lead, Smart Male Lead, Bromance, Soldier, Foreigner, Rebellion, Japanese Colonial Rule, Sismance",Lee Eung Bok,Kim Eun Sook,"Lee Byung Hun, Kim Tae Ri, Kim Min Jung, Yoo Yeon Seok, Byun Yo Han, Kim Gab Soo","Studio Dragon, Hwa&Dam Pictures",#18,18.10%,170000,Comedy
18,해피니스,"Nov  5, 2021 - Dec 11, 2021",2021,tvN," Friday, Saturday",12,1 hr. 5 min.,15+ - Teens 15 or older,8.9,"Action,  Thriller,  Drama,  Fantasy ","Disease, Strong Female Lead, Survival, Virus, Fake Marriage, Zombies, Discrimination, Slow Burn Romance, Infectious Disease, Illness",Ahn Gil Ho,Han Sang Woon,"Han Hyo Joo, Park Hyung Sik, Jo  Woo Jin, Lee Joon Hyuk, Park Joo Hee, Baek Hyun Jin",Studio Dragon,#19,4.20%,2840000,Thriller
19,킹덤:시즌2,13-Mar-20,2020,Netflix,Friday,6,45 min.,18+ Restricted (violence & profanity),8.9,"Thriller,  Historical,  Horror,  Supernatural ","Zombies, Corruption, Strong Male Lead, Gore, Strong Female Lead, Power Struggle, Smart Female Lead, Death, Palace Politics, Greed","Kim Sung Hoon, Park In Je",Kim Eun Hee,"Joo Ji Hoon, Bae Doo Na, Kim Sung Gyu, Ryu Seung Ryong, Kim  Sang Ho, Jun Suk Ho",AStory,#20,,1090000,Thriller
20,SKY 캐슬,"Nov 23, 2018 - Feb  1, 2019",2018,jTBC," Friday, Saturday",20,1 hr. 15 min.,15+ - Teens 15 or older,8.9,"Mystery,  Psychological,  Drama,  Family ","Multiple Mains, Social Commentary, Sibling, Medical, Social Satire, Female Centered Plot, Satire, Hospital, Mother-Daughter Relationship, Death",Jo Hyun Taek,Yoo Hyun Mi,"Yeom Jung Ah, Lee Tae Ran, Yoon Se Ah, Oh Na Ra, Kim Seo Hyung, Jung Joon Ho","HB Entertainment, Drama House",#21,23.80%,10900000,Historical
21,내일,"Apr 1, 2022 - May 21, 2022",2022,"MBC, Netflix","Friday, Saturday",16,60 min.,15+ - Teens 15 or older,8.9,"Action, Thriller, Drama, Fantasy ","Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead","Kim Tae Yoon, Sung Chi Wook","Park Ran, Park Ja Kyung, Kim Yu Jin","Kim Hee Sun, Rowoon, Lee Soo Hyuk, Yun Ji On, Kim Hae Sook, Kim Nu Ri","Studio N, Super Moon Pictures",#22,7.60%,50000,Action
22,힐러,"Dec  8, 2014 - Feb 10, 2015",2014,KBS2," Monday, Tuesday",20,60 min.,15+ - Teens 15 or older,8.9,"Action,  Thriller,  Mystery,  Romance ","Double Identity, Hidden Identity, Smart Male Lead, Strong Male Lead, Childish Female Lead, Fight, Secret, Sassy Female Lead, Reporter, Trauma","Lee Jung Sub, Kim Jin Woo",Song Ji Na,"Ji Chang Wook, Park Min Young, Yoo Ji Tae, Kim  Mi Kyung, Park Sang Won, Do Ji Won",Kim Jong-hak Production,#23,10.30%,5860000,Thriller
23,비밀의숲,"Jun 10, 2017 - Jul 30, 2017",2017,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.9,"Thriller,  Mystery,  Law,  Drama ","Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead",Ahn Gil Ho,Lee Soo Yeon,"Jo Seung Woo, Bae Doo Na, Lee Joon Hyuk, Yoo Jae Myung, Shin Hye Sun, Choi Jae Woong","Signal Entertainment Group, IOK Media",#24,9.40%,220000,Action
24,스물다섯 스물하나,"Feb 12, 2022 - Apr 3, 2022",2022,"Netflix, tvN","Saturday, Sunday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.8,"Romance, Life, Drama, Melodrama ","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, IMF Crisis, High School To Working Life, High School, Competition, Enemies To Friends","Jung Ji Hyun, Kim Seung Ho",Kwon Do Eun,"Kim Tae Ri, Nam Joo Hyuk, Bona, Choi Hyun Wook, Lee Joo Myung, Seo Jae Hee",Hwa&Dam Pictures,#25,11.50%,270000,Thriller
25,옷소매 붉은 끝동,"Nov 12, 2021 - Jan 1, 2022",2021,"MBC, Viki","Friday, Saturday",17,1 hr. 20 min.,15+ - Teens 15 or older,8.8,"Historical, Romance, Drama, Melodrama ","Noble Man/Common Woman, Tearjerker, Death, Joseon Dynasty, Strong Male Lead, Male Chases Female First, Smart Female Lead, Master-Servant Relationship, Strong Female Lead, King Male Lead","Jung Ji In, Song Yeon Hwa",Jung Hae Ri,"Lee Jun Ho, Lee Se Young, Kang Hoon, Lee Deok Hwa, Park Ji Young, Jang Hee Jin","WeMad, NPIO Entertainment",#26,17.40%,610000,Action
26,도깨비,"Dec  2, 2016 - Jan 21, 2017",2016,tvN," Friday, Saturday",16,1 hr. 22 min.,15+ - Teens 15 or older,8.8,"Comedy,  Romance,  Fantasy,  Melodrama ","Supernatural, Grim Reaper, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Tearjerker, Bromance, Death, Heartfelt",Lee Eung Bok,Kim Eun Sook,"Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae, Lee El",Hwa&Dam Pictures,#27,20.50%,100000,Thriller
27,경이로운 소문,"Nov 28, 2020 - Jan 24, 2021",2020,"Netflix,  OCN "," Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.8,"Action,  Mystery,  Drama,  Supernatural ","Special Power, Righteous Male Lead, Evil Spirit, Strong Female Lead, Multiple Mains, Orphan Male Lead, Spirit, School Bullying, Childhood Trauma, Nice Male Lead",Yoo Seon Dong,"Yoo Seon Dong, Kim Sae Bom, Yeo Ji Na","Cho Byeong Kyu, Yoo  Joon Sang, Kim Se Jeong, Yeom Hye Ran, Ahn Suk Hwan, Lee Hong Nae",Neo Entertainment,#28,6.10%,768,Thriller
28,마우스,"Mar  3, 2021 - May 19, 2021",2021,tvN," Wednesday, Thursday",20,1 hr. 15 min.,18+ Restricted (violence & profanity),8.7,"Thriller,  Mystery,  Sci-Fi ","Psychopath, Murder, Serial Killer, Investigation, Character Development, Detective, Neurosurgeon, Extreme Violence, Child Sexual Abuse, Flashback To Past","Choi Joon Bae, Kang Cheol Woo",Choi Ran,"Lee Seung Gi, Lee Hee Joon, Park Joo Hyun, Kyung Soo Jin, Woo Ji Hyun, Ahn Jae Wook","HIGROUND, Studio Invictus",#29,6.70%,130000,Thriller
29,킹덤,25-Jan-19,2019,Netflix,Friday,6,51 min.,18+ Restricted (violence & profanity),8.8,"Thriller,  Historical,  Horror,  Political ","Joseon Dynasty, Adapted From A Webtoon, Power Struggle, Gore, Nice Male Lead, Strong Male Lead, Survival, Corruption, Strong Female Lead, Epidemic",Kim Sung Hoon,Kim Eun Hee,"Joo Ji Hoon, Ryu Seung Ryong, Bae Doo Na, Kim Sung Gyu, Kim Chan Yi, Kim  Sang Ho",AStory,#30,,1020000,Psychological
30,역도요정 김복주,"Nov 16, 2016 - Jan 11, 2017",2016,MBC," Wednesday, Thursday",16,60 min.,15+ - Teens 15 or older,8.8,"Comedy,  Romance,  Youth,  Sports ","College Life, Dream, Friends To Lovers, Weightlifting, Strong Female Lead, Bantering Relationship, Male Chases Female First, Tomboy, Swimming, Sismance","Oh Hyun Jong, Nam Sung Woo","Yang Hee Seung, Kim Soo Jin","Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin, Cho Hye Jung, Lee Joo Young",Chorokbaem Media,#31,5.40%,510000,Comedy
31,D.P,27-Aug-21,2021,Netflix,Friday,6,50 min.,15+ - Teens 15 or older,8.8,"Action,  Military,  Comedy,  Drama ","Abuse, Soldier, Military Abuse, Violence, PTSD, Bromance, Overcoming Trauma, Adapted From A Webtoon, Sexual Assault, Desertion",Han Jun Hee,Kim Bo Tong,"Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Seok Koo, Hong Kyung, Jo Hyun Chul","Climax Studio, Shotcake",#32,,8630000,Food
32,악마판사,"Jul  3, 2021 - Aug 22, 2021",2021,tvN," Saturday, Sunday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.8,"Mystery,  Law,  Crime,  Drama ","Judge, Tough Past, Dystopia, Antihero, Bromance, Hardworking Male Lead, Courtroom, Corruption, Strong Female Lead, Mysterious Male Lead",Choi Jung Gyu,Moon Yoo Seok,"Ji Sung, Kim Min Jung, Park Jin Young, Park Gyu Young, Jeon Chae Eun, Kim Jae Kyung","Studio Dragon, Studio&NEW",#33,8.00%,420000,Action
33,펜트하우스,"Oct 26, 2020 - Jan  5, 2021",2020,SBS," Monday, Tuesday",21,1 hr. 25 min.,15+ - Teens 15 or older,8.8,"Thriller,  Mystery,  Drama,  Family ","Betrayal, Revenge, Greed, Jealousy, Female Centered Plot, Married Couple, Opera Singer, Motherhood, Twins, School Bullying",Joo Dong Min,Kim Soon Ok,"Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung","Studio S, Chorokbaem Media",#34,0.70%,1870000,Mystery
34,오월의 청춘,"May  3, 2021 - Jun  8, 2021",2021,KBS2," Monday, Tuesday",12,1 hr. 10 min.,15+ - Teens 15 or older,8.8,"Historical,  Romance,  Drama,  Melodrama ","1980s, Nurse, Rich Man/Poor Woman, Gwangju Uprising, Medical Student, Strong Female Lead, Smart Female Lead, Forbidden Love, Star Crossed Lovers, Tearjerker","Song Min Yeop, Lee Dae Kyung",Lee Kang,"Lee Do Hyun, Go Min Si, Lee Sang Yi, Geum Sae Rok, Oh Man Suk, Uhm Hyo Sub",Story Hunter Production,#35,5.70%,560000,Friendship
35,모범택시,"Apr  9, 2021 - May 29, 2021",2021,SBS," Friday, Saturday",16,1 hr. 5 min.,18+ Restricted (violence & profanity),8.8,"Action,  Thriller,  Mystery,  Drama ","Adapted From A Webtoon, Taxi, Strong Male Lead, Investigation, Secret Organization, Smart Female Lead, Taxi Driver, Antihero, Calm Male Lead, Strong Female Lead",Park Joon Woo,"Oh Sang Ho, Lee Ji Hyun","Lee Je Hoon, Esom, Kim Eui Sung, Pyo Ye Jin, Cha Ji Yeon, Jang Hyuk Jin","Studio S, Group 8",#36,21.00%,140000,Comedy
36,라이프 온 마스,"Jun  9, 2018 - Aug  5, 2018",2018,OCN," Saturday, Sunday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,"Action,  Mystery,  Comedy,  Supernatural ","1980s, Police Procedural, Bromance, Calm Male Lead, Smart Male Lead, Strong Friendship, Hallucination, Strong Female Lead, Serial Killer, Coma",Lee Jeong Hyo,Lee Dae II,"Jung Kyung Ho, Park Sung Woong, Go Ah Sung, Oh Dae Hwan, Noh Jong Hyun, Jun Suk Ho",Production H,#37,5.90%,120000,Historical
37,괴물,"Feb 19, 2021 - Apr 10, 2021",2021,jTBC," Friday, Saturday",16,1 hr. 5 min.,15+ - Teens 15 or older,8.8,"Thriller,  Mystery,  Psychological,  Drama ","Determined Male Lead, Investigation, Suspense, Murder, Wrongfully Accused, Psychological Manipulation, Smart Male Lead, Trauma, Serial Killer, Obsession",Shim Na Yeon,Kim Soo Jin,"Shin Ha Kyun, Yeo Jin Goo, Choi Dae Hoon, Kim Shin Rok, Choi Sung Eun, Choi Jin Ho","Celltrion Entertainment, JTBC Studios",#38,6.00%,10000,Comedy
38,라켓소년단,"May 31, 2021 - Aug  9, 2021",2021,"Netflix,  SBS "," Monday, Tuesday",16,1 hr. 15 min.,15+ - Teens 15 or older,8.8,"Friendship,  Comedy,  Youth,  Sports ","Coliving, Boarding House, Charismatic Female Lead, Legend, Rural Life, Working Mom, Athlete, Tough Female Lead, Tough Male Lead, Badminton",Jo Young Kwang,Jung Bo Hoon,"Kim Sang Kyung, Oh Na Ra, Tang Jun Sang, Son Sang Yeon, Choi Hyun Wook, Kim Kang Hoon","SBS, Pan Entertainment",#39,6.20%,120000,Comedy
39,갯마을 차차차,"Aug 28, 2021 - Oct 17, 2021",2021,"Netflix,  tvN "," Saturday, Sunday",16,1 hr. 20 min.,15+ - Teens 15 or older,8.8,"Comedy,  Romance,  Life ","Rural Village, Dentist, Healing, Kind-hearted Male Lead, Nice Female Lead, Cheerful Male Lead, Nice Male Lead, Bickering Couple, Rural Life, Hardworking Male Lead",Yoo Je Won,Shin Ha Eun,"Shin Min Ah, Kim Seon Ho, Lee Sang Yi, In Gyo Jin, Jo Han Chul, Lee Bong Ryun","Studio Dragon, GTist",#40,12.70%,449,Mystery
40,육룡이 나르샤,"Oct  5, 2015 - Mar 22, 2016",2015,SBS," Monday, Tuesday",50,60 min.,15+ - Teens 15 or older,8.8,"Action,  Historical,  Drama,  Political ","Revolution, Power Struggle, Political Intrigue, Sword-fight, Taejong, Scheme, Taejo, Smart Male Lead, Goryeo Dynasty, Bromance",Shin Kyung Soo,"Kim Young Hyun, Park Sang Yeon","Yoo Ah In, Kim Myung Min, Shin Se Kyung, Byun Yo Han, Yoon Kyun Sang, Chun Ho Jin",ANDu Entertainment,#41,17.30%,660000,Action
41,그 해 우리는,"Dec 6, 2021 - Jan 25, 2022",2021,"Netflix, SBS","Monday, Tuesday",16,60 min.,15+ - Teens 15 or older,8.7,"Romance, Life, Youth, Drama ","Lovers Reunited, High School Sweethearts, First Love, Healing, Flashback To Past, Love/Hate Relationship, Interview, Coming Of Age, Second Chance Romance, Enemies To Lovers",Kim Yoon Jin,Lee Na Eun,"Choi Woo Shik, Kim Da Mi, Kim Sung Cheol, Roh Jeong Eui, Ahn Dong Goo, Park Jin Joo","Studio N, Super Moon Pictures",#42,5.30%,15000,Adventure
42,손:The Guest,"Sep 12, 2018 - Nov  1, 2018",2018,OCN," Wednesday, Thursday",16,1 hr. 7 min.,18+ Restricted (violence & profanity),8.8,"Thriller,  Mystery,  Horror,  Supernatural ","Exorcism, Death, Demon, Possessed, Shamanism, Murder, Psychic, Strong Female Lead, Priest, Policewoman",Kim Hong Seon,"Seo Jae Won, Kwon So Ra","Kim Dong Wook, Kim Jae Wook, Jung Eun Chae, Lee Won Jong, Park Ho San, Ahn Nae Sang",Studio Dragon,#43,4.10%,260000,Horror
43,디어 마이 프렌즈,"May 13, 2016 - Jul  2, 2016",2016,tvN," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Life,  Drama,  Family,  Melodrama ","Best Friends, Life Lesson, Female Centered Plot, Senior Citizen, Mother-Son Relationship, Mother-Daughter Relationship, Multiple Couples, Single Mother, Sismance, Family Conflict",Hong Jong Chan,Noh Hee Kyung,"Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung",Studio Dragon,#44,8.10%,110000,Action
44,당신이 잠든 사이,"Sep 27, 2017 - Nov 16, 2017",2017,SBS," Wednesday, Thursday",32,30 min.,15+ - Teens 15 or older,8.7,"Mystery,  Romance,  Drama,  Fantasy ","Precognition, Nice Male Lead, Neighbors, Murder, Tragic Past, Childhood Acquaintance, Smart Male Lead, Steamy Kiss, Strong Female Lead, Healing","Oh Choong Hwan, Park Soo Jin",Park Hye Ryun,"Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob, Hwang Young Hee, Shin Jae Ha",SidusHQ,#45,14.50%,100000,Action
45,펜트하우스 2,"Feb 19, 2021 - Apr  2, 2021",2021,SBS," Friday, Saturday",13,1 hr. 15 min.,15+ - Teens 15 or older,8.8,"Thriller,  Mystery,  Drama,  Family ","Revenge, Corruption, High Class Society, Female Centered Plot, Greed, Infidelity, Murder, Family Relationship, Betrayal, Married Couple",Joo Dong Min,Kim Soon Ok,"Kim So Yeon, Eugene, Lee Ji Ah, Uhm Ki Joon, Yoon Jong Hoon, Shin Eun Kyung","Studio S, Chorokbaem Media",#46,29.20%,1910000,Action
46,시카고 타자기,"Apr  7, 2017 - Jun  3, 2017",2017,tvN," Friday, Saturday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Comedy,  Romance,  Supernatural,  Political ","Reincarnation, Strong Friendship, Writer, Hardworking Male Lead, Hardworking Female Lead, Strong Female Lead, Successful Male Lead, Bromance, Flashback To Past, Tragic Past",Kim Chul Gyu,Jin Soo Wan,"Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang, Jo  Woo Jin, Oh Na Ra","THE UNICORN, Studio Dragon",#47,2.80%,310000,Thriller
47,18 어게인,"Sep 21, 2020 - Nov 10, 2020",2020,jTBC," Monday, Tuesday",16,1 hr. 10 min.,15+ - Teens 15 or older,8.7,"Romance,  Life,  Drama,  Fantasy ","Second Chance, Personal Growth, First Love, Return To Past, Father-Son Relationship, Divorce, Remake, Married Couple, Hardworking Female Lead, Father-Daughter Relationship",Ha Byung Hoon,"Kim Do Yeon, Ahn Eun Bin, Choi Yi Ryun","Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon",JTBC Studios,#48,3.20%,215,Historical
